0,-0.5,0,-10,0,0
-0.1,-0.5,0,-10,0,0
-0.2,-0.5,0,-10,0,0
-0.3,-0.5,0,-10,0,0
-0.4,-0.5,0,-10,0,0
-0.5,-0.5,0,-10,0,0
-0.6,-0.5,0,-10,0,0
-0.7,-0.5,0,-10,0,0
-0.8,-0.5,0,-10,0,0
-0.9,-0.5,0,-10,0,0
-1,-0.5,0,-10,0,0
-1.1,-0.5,0,-10,0,0
-1.2,-0.5,0,-10,0,0
-1.3,-0.5,0,-10,0,0
-1.4,-0.5,0,-10,0,0
-1.5,-0.5,0,-10,0,0
-1.6,-0.5,0,-10,0,0
-1.7,-0.5,0,-10,0,0
-1.8,-0.5,0,-10,0,0
-1.9,-0.5,0,-10,0,0
-2,-0.5,0,-10,0,0
-2.1,-0.5,0,-10,0,0
-2.2,-0.5,0,-10,0,0
-2.3,-0.5,0,-10,0,0
-2.4,-0.5,0,-10,0,0
-2.5,-0.5,0,-10,0,0
-2.6,-0.5,0,-10,0,0
-2.7,-0.5,0,-10,0,0
-2.8,-0.5,0,-10,0,0
-2.9,-0.5,0,-10,0,0
-3,-0.5,0,-10,0,0
-3.1,-0.5,0,-10,0,0
-3.2,-0.5,0,-10,0,0
-3.3,-0.5,0,-10,0,0
-3.4,-0.5,0,-10,0,0
-3.5,-0.5,0,-10,0,0
-3.6,-0.5,0,-10,0,0
-3.7,-0.5,0,-10,0,0
-3.8,-0.5,0,-10,0,0
-3.9,-0.5,0,-10,0,0
-4,-0.5,0,-10,0,0
-4.1,-0.5,0,-10,0,0
-4.2,-0.5,0,-10,0,0
-4.3,-0.5,0,-10,0,0
-4.4,-0.5,0,-10,0,0
-4.5,-0.5,0,-10,0,0
-4.6,-0.5,0,-10,0,0
-4.7,-0.5,0,-10,0,0
-4.8,-0.5,0,-10,0,0
-4.9,-0.5,0,-10,0,0
-5,-0.5,0,-10,0,0
-5.1,-0.5,0,-10,0,0
-5.2,-0.5,0,-10,0,0
-5.3,-0.5,0,-10,0,0
-5.4,-0.5,0,-10,0,0
-5.5,-0.5,0,-10,0,0
-5.6,-0.5,0,-10,0,0
-5.7,-0.5,0,-10,0,0
-5.8,-0.5,0,-10,0,0
-5.9,-0.5,0,-10,0,0
-6,-0.5,0,-10,0,0
-6.1,-0.5,0,-10,0,0
-6.2,-0.5,0,-10,0,0
-6.3,-0.5,0,-10,0,0
-6.4,-0.5,0,-10,0,0
-6.5,-0.5,0,-10,0,0
-6.6,-0.5,0,-10,0,0
-6.7,-0.5,0,-10,0,0
-6.8,-0.5,0,-10,0,0
-6.9,-0.5,0,-10,0,0
-7,-0.5,0,-10,0,0
-7.1,-0.5,0,-10,0,0
-7.2,-0.5,0,-10,0,0
-7.3,-0.5,0,-10,0,0
-7.4,-0.5,0,-10,0,0
-7.5,-0.5,0,-10,0,0
-7.6,-0.5,0,-10,0,0
-7.7,-0.5,0,-10,0,0
-7.8,-0.5,0,-10,0,0
-7.9,-0.5,0,-10,0,0
-8,-0.5,0,-10,0,0
-8.1,-0.5,0,-10,0,0
-8.17439,-0.50674,-0.0463466,-10.0256,0.00673995,-0.0463466
-8.19177,-0.529293,-0.196227,-10.1082,0.0292929,0.0108407
-8.20642,-0.552641,-0.351079,-10.1936,0.0526408,0.0729993
-8.22107,-0.575989,-0.505931,-10.2789,0.0759886,0.135158
-8.23572,-0.599337,-0.660783,-10.3643,0.0993365,0.197317
-8.25037,-0.622684,-0.815635,-10.4496,0.122684,0.259475
-8.26502,-0.646032,-0.970487,-10.535,0.146032,0.321634
-8.27967,-0.66938,-1.12534,-10.6203,0.16938,0.383793
-8.29432,-0.692728,-1.28019,-10.7057,0.192728,0.445951
-8.30897,-0.716076,-1.43504,-10.791,0.216076,0.50811
-8.32363,-0.739424,-1.58989,-10.8764,0.239424,0.570269
-8.33828,-0.762772,-1.74475,-10.9617,0.262772,0.632427
-8.35293,-0.786119,-1.8996,-11.0471,0.286119,0.694586
-8.36758,-0.809467,-2.05445,-11.1324,0.309467,0.756745
-8.38223,-0.832815,-2.2093,-11.2178,0.332815,0.818904
-8.39688,-0.856163,-2.36415,-11.3031,0.356163,0.881062
-8.41153,-0.879511,-2.51901,-11.3885,0.379511,0.943221
-8.42618,-0.902859,-2.67386,-11.4738,0.402859,1.00538
-8.44083,-0.926207,-2.82871,-11.5592,0.426207,1.06754
